Image,TP_veg,FP_veg,FN_veg,TP_non_veg,FP_non_veg,FN_non_veg
1,2682,0,1777,11925,0,4459
2,12629,10,1311,2444,10,13940
3,3209,0,2686,10489,0,5895
4,3164,0,4128,9092,0,7292
5,0,0,0,16384,0,0
6,621,0,188,15575,0,809
7,1548,8,505,14331,8,2053
8,107,0,73,16204,0,180
9,6479,0,2414,7491,0,8893
10,2653,0,4617,9114,0,7270
11,2907,0,1057,12420,0,3964
12,1059,0,2552,12773,0,3611
13,0,0,1,16383,0,1
14,0,0,3989,12395,0,3989
15,5044,0,2400,8940,0,7444
16,6975,5,3472,5937,5,10447
17,7058,279,1519,7807,279,8577
18,8621,17,3144,4619,17,11765
19,0,638,0,16384,638,0
20,34,29,1,16349,29,35
21,0,0,0,16384,0,0
22,6127,0,8109,2148,0,14236
23,5982,4,4804,5598,4,10786
24,1105,15,1156,14123,15,2261
25,1492,31,6984,7908,31,8476
26,1359,27,1015,14010,27,2374
27,6361,14,3553,6470,14,9914
28,212,0,13575,2597,0,13787
29,1949,3,6076,8359,3,8025
30,3345,0,5630,7409,0,8975
31,6364,0,6318,3702,0,12682
32,5022,0,1978,9384,0,7000
33,4121,159,6648,5615,159,10769
34,9279,13,3780,3325,13,13059
35,7407,86,4875,4102,86,12282
36,4863,38,6338,5183,38,11201
37,3527,1,1372,11485,1,4899
38,8372,26,1442,6570,26,9814
39,5002,28,2449,8933,28,7451
40,2029,0,5156,9199,0,7185
41,1498,1,4044,10842,1,5542
42,91,1,2533,13760,1,2624
43,31,0,1176,15177,0,1207
44,451,0,3395,12538,0,3846
45,856,7,4604,10924,7,5460
46,402,2,2006,13976,2,2408
47,4,0,609,15771,0,613
48,1581,33,4544,10259,33,6125
49,5245,20,1880,9259,20,7125
50,3471,6,3299,9614,6,6770
51,4623,20,4626,7135,20,9249
52,1417,0,1294,13673,0,2711
53,5329,4,2009,9046,4,7338
54,4974,1,1379,10031,1,6353
55,353,0,2291,13740,0,2644
56,1315,0,1669,13400,0,2984
57,2805,1,8970,4609,1,11775
58,0,0,6106,10278,0,6106
59,185,8,2938,13261,8,3123
60,9667,1,6605,112,1,16272
61,250,15,3112,13022,15,3362
62,614,0,1810,13960,0,2424
63,1853,2,8303,6228,2,10156
64,987,0,1297,14100,0,2284
65,136,0,4064,12184,0,4200
66,0,0,1315,15069,0,1315
67,34,0,1388,14962,0,1422
68,802,3,5286,10296,3,6088
